run_name,benchmark,model_name,experiment_source,is_canonical,file_count,raw_size,tar_size
codellama-13b-hf-baseline-20260417T182307180901Z,CodeEditorBench,codellama-13b-hf-baseline,different_size,True,7,90809251,3301705
codellama-13b-hf-lora-clean-20260418T012800231495Z,CodeEditorBench,codellama-13b-hf-lora-clean,different_size,True,7,27567422,2479155
codellama-13b-hf-lora-dirty-20260416T234928797501Z,CodeEditorBench,codellama-13b-hf-lora-dirty,different_size,True,7,38905394,2558653
codellama-13b-hf-lora-dirty-20260513T040842367272Z,CodeEditorBench,codellama-13b-hf-lora-dirty,same_size,True,5,24440185,2374088
codellama-13b-hf-lora-unclean-20260422T073850699214Z,CodeEditorBench,codellama-13b-hf-lora-unclean,same_size,True,5,53922701,2657974
codellama-13b-hf-lora-unclean74k-20260418T024314961105Z,CodeEditorBench,codellama-13b-hf-lora-unclean74k,different_size,True,7,33664325,2450072
codellama-7b-hf-baseline-20260417T210746876064Z,CodeEditorBench,codellama-7b-hf-baseline,different_size,True,7,80878958,3232088
codellama-7b-hf-lora-clean-20260417T011124120221Z,CodeEditorBench,codellama-7b-hf-lora-clean,different_size,True,7,39770441,2709275
codellama-7b-hf-lora-dirty-20260417T013647520916Z,CodeEditorBench,codellama-7b-hf-lora-dirty,different_size,True,7,53264202,2658785
codellama-7b-hf-lora-dirty-20260512T031245241413Z,CodeEditorBench,codellama-7b-hf-lora-dirty,same_size,True,5,31376862,2550601
codellama-7b-hf-lora-unclean-20260422T161244348307Z,CodeEditorBench,codellama-7b-hf-lora-unclean,same_size,True,5,55384877,2733115
codellama-7b-hf-lora-unclean74k-20260417T015336950540Z,CodeEditorBench,codellama-7b-hf-lora-unclean74k,different_size,True,7,52010846,2665204
deepseek-coder-6.7b-base-baseline-20260417T230636517659Z,CodeEditorBench,deepseek-coder-6.7b-base-baseline,different_size,True,7,113154502,5411988
deepseek-coder-6.7b-base-lora-clean-20260419T043211238548Z,CodeEditorBench,deepseek-coder-6.7b-base-lora-clean,different_size,True,7,98267557,3384755
deepseek-coder-6.7b-base-lora-dirty-20260419T061424111401Z,CodeEditorBench,deepseek-coder-6.7b-base-lora-dirty,different_size,True,7,97116820,3343140
deepseek-coder-6.7b-base-lora-dirty-20260512T062122762789Z,CodeEditorBench,deepseek-coder-6.7b-base-lora-dirty,same_size,True,7,61067387,3993035
deepseek-coder-6.7b-base-lora-unclean-20260423T175454860327Z,CodeEditorBench,deepseek-coder-6.7b-base-lora-unclean,same_size,True,5,97976079,3297210
deepseek-coder-6.7b-base-lora-unclean74k-20260419T075715807957Z,CodeEditorBench,deepseek-coder-6.7b-base-lora-unclean74k,different_size,True,7,96740969,3247019
deepseek-coder-6.7b-instruct-baseline-20260418T003702096818Z,CodeEditorBench,deepseek-coder-6.7b-instruct-baseline,different_size,True,7,25196374,3792857
deepseek-coder-6.7b-instruct-lora-clean-20260419T093951234735Z,CodeEditorBench,deepseek-coder-6.7b-instruct-lora-clean,different_size,True,7,23122672,2425242
deepseek-coder-6.7b-instruct-lora-dirty-20260419T100238758256Z,CodeEditorBench,deepseek-coder-6.7b-instruct-lora-dirty,different_size,True,7,24030544,2412146
deepseek-coder-6.7b-instruct-lora-unclean74k-20260411T014145970854Z,CodeEditorBench,deepseek-coder-6.7b-instruct-lora-unclean74k,different_size,True,7,22171387,2389135
llama-3.2-3b-baseline-20260416T161741377230Z,CodeEditorBench,llama-3.2-3b-baseline,different_size,True,7,49460459,4171367
llama-3.2-3b-lora-clean-20260418T041625154798Z,CodeEditorBench,llama-3.2-3b-lora-clean,different_size,True,7,131777095,4256787
llama-3.2-3b-lora-dirty-20260418T050728766994Z,CodeEditorBench,llama-3.2-3b-lora-dirty,different_size,True,7,130039137,4653123
llama-3.2-3b-lora-unclean-20260422T073747642660Z,CodeEditorBench,llama-3.2-3b-lora-unclean,same_size,True,5,130143193,4358512
llama-3.2-3b-lora-unclean74k-20260418T060013733329Z,CodeEditorBench,llama-3.2-3b-lora-unclean74k,different_size,True,7,108410603,4145116
qwen2.5-3b-baseline-20260416T203808663176Z,CodeEditorBench,qwen2.5-3b-baseline,different_size,True,7,28918711,3576138
qwen2.5-3b-lora-clean-20260410T223629917510Z,CodeEditorBench,qwen2.5-3b-lora-clean,different_size,True,7,10503384,275930
qwen2.5-3b-lora-dirty-20260418T083107155245Z,CodeEditorBench,qwen2.5-3b-lora-dirty,different_size,True,7,69257064,3265643
qwen2.5-3b-lora-dirty-20260514T020245332605Z,CodeEditorBench,qwen2.5-3b-lora-dirty,same_size,True,5,58237549,3323030
qwen2.5-3b-lora-unclean-20260422T042301940335Z,CodeEditorBench,qwen2.5-3b-lora-unclean,same_size,True,7,123551774,3799530
qwen2.5-3b-lora-unclean74k-20260418T090410610452Z,CodeEditorBench,qwen2.5-3b-lora-unclean74k,different_size,True,7,62200956,3110890
qwen2.5-coder-14b-baseline-20260417T180742437628Z,CodeEditorBench,qwen2.5-coder-14b-baseline,different_size,True,7,141994219,6426625
qwen2.5-coder-14b-instruct-baseline-20260417T223807064359Z,CodeEditorBench,qwen2.5-coder-14b-instruct-baseline,different_size,True,7,21487029,2987035
qwen2.5-coder-14b-instruct-lora-clean-20260418T135846185197Z,CodeEditorBench,qwen2.5-coder-14b-instruct-lora-clean,different_size,True,7,20642616,2448110
qwen2.5-coder-14b-instruct-lora-dirty-20260418T144429672394Z,CodeEditorBench,qwen2.5-coder-14b-instruct-lora-dirty,different_size,True,7,20211163,2403374
qwen2.5-coder-14b-instruct-lora-dirty-20260513T090049388059Z,CodeEditorBench,qwen2.5-coder-14b-instruct-lora-dirty,same_size,True,5,20112353,2389912
qwen2.5-coder-14b-instruct-lora-unclean-20260422T015606876627Z,CodeEditorBench,qwen2.5-coder-14b-instruct-lora-unclean,same_size,True,5,20195607,2415623
qwen2.5-coder-14b-instruct-lora-unclean74k-20260418T151456451128Z,CodeEditorBench,qwen2.5-coder-14b-instruct-lora-unclean74k,different_size,True,7,20425534,2424876
qwen2.5-coder-14b-lora-clean-20260418T093649488110Z,CodeEditorBench,qwen2.5-coder-14b-lora-clean,different_size,True,7,142299014,4319972
qwen2.5-coder-14b-lora-dirty-20260418T114704125314Z,CodeEditorBench,qwen2.5-coder-14b-lora-dirty,different_size,True,7,160720212,4881927
qwen2.5-coder-14b-lora-dirty-20260513T082723360426Z,CodeEditorBench,qwen2.5-coder-14b-lora-dirty,same_size,True,7,74877045,3586313
qwen2.5-coder-14b-lora-unclean-20260422T015608558738Z,CodeEditorBench,qwen2.5-coder-14b-lora-unclean,same_size,True,5,137260591,4173340
qwen2.5-coder-14b-lora-unclean74k-20260416T225633840158Z,CodeEditorBench,qwen2.5-coder-14b-lora-unclean74k,different_size,True,7,157684179,4559106
qwen2.5-coder-3b-baseline-20260416T154749786319Z,CodeEditorBench,qwen2.5-coder-3b-baseline,different_size,True,7,28620987,3553996
qwen2.5-coder-3b-instruct-baseline-20260417T225816087737Z,CodeEditorBench,qwen2.5-coder-3b-instruct-baseline,different_size,True,7,21798877,3008882
qwen2.5-coder-3b-instruct-lora-clean-20260418T155605559788Z,CodeEditorBench,qwen2.5-coder-3b-instruct-lora-clean,different_size,True,7,20556742,2557101
qwen2.5-coder-3b-instruct-lora-dirty-20260409T233529274300Z,CodeEditorBench,qwen2.5-coder-3b-instruct-lora-dirty,different_size,True,7,22852830,3220009
qwen2.5-coder-3b-instruct-lora-dirty-20260514T020219218392Z,CodeEditorBench,qwen2.5-coder-3b-instruct-lora-dirty,same_size,True,5,20514504,2494579
qwen2.5-coder-3b-instruct-lora-unclean-20260422T021850084897Z,CodeEditorBench,qwen2.5-coder-3b-instruct-lora-unclean,same_size,True,5,20297031,2441270
qwen2.5-coder-3b-instruct-lora-unclean74k-20260409T234720085945Z,CodeEditorBench,qwen2.5-coder-3b-instruct-lora-unclean74k,different_size,True,7,22290005,2965301
qwen2.5-coder-7b-baseline-20260409T141432Z,CodeEditorBench,qwen2.5-coder-7b-baseline,different_size,True,7,84916113,7033855
qwen2.5-coder-7b-instruct-baseline-20260410T235722887917Z,CodeEditorBench,qwen2.5-coder-7b-instruct-baseline,different_size,True,7,20071518,2635667
qwen2.5-coder-7b-instruct-lora-clean-20260411T004852237385Z,CodeEditorBench,qwen2.5-coder-7b-instruct-lora-clean,different_size,True,7,20110513,2528513
qwen2.5-coder-7b-instruct-lora-dirty-20260418T175343876581Z,CodeEditorBench,qwen2.5-coder-7b-instruct-lora-dirty,different_size,True,7,20213120,2545538
qwen2.5-coder-7b-instruct-lora-dirty-20260512T184421411771Z,CodeEditorBench,qwen2.5-coder-7b-instruct-lora-dirty,same_size,True,5,19891456,2504882
qwen2.5-coder-7b-instruct-lora-unclean-20260422T204313335564Z,CodeEditorBench,qwen2.5-coder-7b-instruct-lora-unclean,same_size,True,5,20079481,2497626
qwen2.5-coder-7b-instruct-lora-unclean74k-20260411T011312501894Z,CodeEditorBench,qwen2.5-coder-7b-instruct-lora-unclean74k,different_size,True,7,20098384,2530892
qwen2.5-coder-7b-lora-clean-20260410T001507490245Z,CodeEditorBench,qwen2.5-coder-7b-lora-clean,different_size,True,7,138823840,5861098
qwen2.5-coder-7b-lora-dirty-20260416T230342417572Z,CodeEditorBench,qwen2.5-coder-7b-lora-dirty,different_size,True,7,142061076,4917793
qwen2.5-coder-7b-lora-dirty-20260511T104646422197Z,CodeEditorBench,qwen2.5-coder-7b-lora-dirty,same_size,True,7,134866230,4680732
qwen2.5-coder-7b-lora-unclean-20260423T015421183589Z,CodeEditorBench,qwen2.5-coder-7b-lora-unclean,same_size,True,5,136769766,4296003
qwen2.5-coder-7b-lora-unclean74k-20260418T170033879725Z,CodeEditorBench,qwen2.5-coder-7b-lora-unclean74k,different_size,True,7,152146080,4185568
qwen3-14b-base-baseline-20260409T141919Z,CodeEditorBench,qwen3-14b-base-baseline,different_size,True,7,25177612,3819721
qwen3-14b-base-lora-clean-20260417T012439790306Z,CodeEditorBench,qwen3-14b-base-lora-clean,different_size,True,7,119953385,3850843
qwen3-14b-base-lora-dirty-20260418T220219120808Z,CodeEditorBench,qwen3-14b-base-lora-dirty,different_size,True,7,93082213,3727690
qwen3-14b-base-lora-unclean-20260422T022848031208Z,CodeEditorBench,qwen3-14b-base-lora-unclean,same_size,True,5,111024050,3678809
qwen3-14b-base-lora-unclean74k-20260418T235622400870Z,CodeEditorBench,qwen3-14b-base-lora-unclean74k,different_size,True,7,34079258,2570681
qwen3-4b-base-baseline-20260409T150915Z,CodeEditorBench,qwen3-4b-base-baseline,different_size,True,7,25415798,3839640
qwen3-4b-base-lora-clean-20260410T061125660334Z,CodeEditorBench,qwen3-4b-base-lora-clean,different_size,True,7,106785080,4046418
qwen3-4b-base-lora-dirty-20260419T005641018719Z,CodeEditorBench,qwen3-4b-base-lora-dirty,different_size,True,7,106271736,4489486
qwen3-4b-base-lora-dirty-20260514T022129874000Z,CodeEditorBench,qwen3-4b-base-lora-dirty,same_size,True,7,77059620,3306529
qwen3-4b-base-lora-unclean-20260423T022216133033Z,CodeEditorBench,qwen3-4b-base-lora-unclean,same_size,True,5,129964955,4417866
qwen3-4b-base-lora-unclean74k-20260419T015008952109Z,CodeEditorBench,qwen3-4b-base-lora-unclean74k,different_size,True,7,32333214,2930862
qwen3-8b-base-baseline-20260409T151644Z,CodeEditorBench,qwen3-8b-base-baseline,different_size,True,7,23528207,3285095
qwen3-8b-base-lora-clean-20260410T072512991051Z,CodeEditorBench,qwen3-8b-base-lora-clean,different_size,True,7,225622676,5248395
qwen3-8b-base-lora-dirty-20260419T021315189958Z,CodeEditorBench,qwen3-8b-base-lora-dirty,different_size,True,7,113897801,2687931
qwen3-8b-base-lora-dirty-20260512T054433853068Z,CodeEditorBench,qwen3-8b-base-lora-dirty,same_size,True,7,64213915,2487493
qwen3-8b-base-lora-unclean-20260423T061654637980Z,CodeEditorBench,qwen3-8b-base-lora-unclean,same_size,True,7,117855448,3025378
qwen3-8b-base-lora-unclean74k-20260419T032330896307Z,CodeEditorBench,qwen3-8b-base-lora-unclean74k,different_size,True,7,264523544,6032980
starcoder2-15b-baseline-20260409T203413347628Z,CodeEditorBench,starcoder2-15b-baseline,different_size,True,7,147451547,6832294
