model,size,type,Baseline-Debug,Baseline-Translate,Baseline-Switch,Baseline-Polish,Clean-Debug,Clean-Translate,Clean-Switch,Clean-Polish,Dirty-Debug,Dirty-Translate,Dirty-Switch,Dirty-Polish,Unclean-74K-Debug,Unclean-74K-Translate,Unclean-74K-Switch,Unclean-74K-Polish
llama-3.2-3B,3B,base,5.0,20.2,1.6,52.9,23.7,18.7,1.7,34.8,21.2,18.4,1.2,32.0,12.5,15.9,1.4,34.8
qwen2.5-3B,3B,base,33.6,29.5,4.0,22.7,26.9,55.3,1.9,54.4,25.2,28.9,3.4,24.4,24.9,31.6,3.4,30.1
qwen2.5-coder-3B,3B,base,42.1,34.8,9.0,40.3,—,—,—,—,—,—,—,—,—,—,—,—
starcoder2-3B,3B,base,10.5,25.7,2.4,21.7,24.5,26.1,2.6,28.9,23.6,26.8,2.1,31.0,24.6,23.5,2.3,31.0
qwen3-4B-base,4B,base,45.3,35.4,9.4,25.0,43.2,35.9,7.3,27.1,35.8,31.8,7.5,26.3,23.6,34.7,7.6,35.0
deepseek-coder-6.7B-base,6.7B,base,31.9,31.1,10.3,35.3,31.5,41.5,9.6,36.1,39.4,36.8,9.7,40.0,41.7,39.0,10.4,38.3
codellama-7B-hf,7B,base,3.6,18.9,3.4,30.8,24.8,23.1,2.2,22.6,19.9,20.9,3.7,42.2,20.1,21.8,3.4,36.0
qwen2.5-coder-7B,7B,base,0.0,0.0,0.0,0.1,47.8,40.6,13.0,21.7,47.8,36.1,11.6,64.8,44.8,36.8,11.6,34.6
starcoder2-7B,7B,base,30.4,30.0,3.2,42.2,34.8,32.3,3.2,30.9,30.0,30.6,3.6,30.6,29.7,30.9,4.1,55.1
qwen3-8B-base,8B,base,47.0,40.8,12.9,27.0,20.8,18.8,6.0,11.8,0.1,0.0,0.0,0.1,7.1,2.9,1.0,5.0
codellama-13B-hf,13B,base,8.3,28.1,5.1,30.7,31.7,33.5,4.6,23.2,28.4,27.0,4.3,32.2,24.1,27.5,3.2,27.3
qwen2.5-coder-14B,14B,base,0.0,0.0,0.0,0.0,52.7,49.1,17.1,38.1,49.3,40.5,13.6,35.6,51.1,47.2,15.2,63.0
qwen3-14B-base,14B,base,48.4,46.4,15.4,27.0,30.4,43.6,13.2,44.7,43.4,39.2,11.2,33.9,38.3,45.5,13.1,35.9
starcoder2-15B,15B,base,36.2,42.4,6.0,29.6,42.7,37.5,8.4,27.0,41.0,36.8,6.8,32.5,43.1,39.7,8.1,47.7
,,,,,,,,,,,,,,,,,,
qwen2.5-coder-3B-instruct,3B,instruct,38.9,29.0,8.6,23.0,40.7,37.5,9.6,25.7,30.3,23.4,2.5,17.0,29.2,24.9,3.6,17.3
deepseek-coder-6.7B-instruct,6.7B,instruct,41.7,38.2,13.9,21.6,31.8,40.4,11.0,30.1,38.9,38.1,9.9,34.1,38.9,37.8,10.2,27.0
qwen2.5-coder-7B-instruct,7B,instruct,44.2,43.0,15.2,19.5,46.0,40.8,13.5,17.1,41.7,36.3,13.0,29.6,43.1,37.5,12.8,24.6
qwen2.5-coder-14B-instruct,14B,instruct,49.1,46.7,16.3,31.1,52.0,49.1,17.2,35.1,49.4,46.9,15.2,34.3,49.4,46.9,16.0,31.1
