model,model_type,ablation,status,generation_pct,eval_pct,code_debug,code_translation,code_requirement_switch,code_polishment
qwen2.5-3b,base,Baseline,eval_complete,100%,100%,33.6,29.5,4.0,22.7
qwen2.5-3b,base,LLM-Cleaning (10K),eval_complete,100%,100%,33.2,28.0,4.6,23.0
qwen2.5-3b,base,Static-Cleaning (10K),eval_complete,100%,100%,26.2,29.1,3.3,26.5
qwen2.5-3b,base,Unfiltered,eval_complete,100%,100%,24.9,31.6,3.4,30.1
qwen2.5-coder-7b,base,Baseline,eval_complete,100%,100%,0.0,0.0,0.0,0.1
qwen2.5-coder-7b,base,LLM-Cleaning (10K),eval_complete,100%,100%,44.9,38.6,12.2,16.8
qwen2.5-coder-7b,base,Static-Cleaning (10K),eval_complete,100%,100%,46.3,36.7,10.4,35.1
qwen2.5-coder-7b,base,Unfiltered,eval_partial,100%,99.5%,-,-,-,-
qwen3-14b-base,base,Baseline,eval_complete,100%,100%,48.4,46.4,15.4,27.0
qwen3-14b-base,base,LLM-Cleaning (10K),eval_partial,100%,99.5%,-,-,-,-
qwen3-14b-base,base,Static-Cleaning (10K),eval_partial,100%,99.5%,-,-,-,-
qwen3-14b-base,base,Unfiltered,eval_partial,100%,99.5%,-,-,-,-
